原始谓词,规范谓词,断言数
raw:所属,member_of,22
raw:持有,raw:持有,22
raw:指挥区域,governed,22
raw:指示关系,raw:指示关系,22
raw:控制区域,raw:控制区域,22
raw:政权建设,raw:政权建设,22
raw:渡过,traveled_to,22
raw:物资支持,raw:物资支持,22
raw:粉碎,raw:粉碎,22
raw:翻越,raw:翻越,22
raw:获得,raw:获得,22
raw:行动路径,raw:行动路径,22
raw:覆盖,occurred_at,22
raw:运用,raw:运用,22
raw:革命活动,raw:革命活动,22
raw:事件-对象,raw:事件-对象,21
raw:事件-组织,raw:事件-组织,21
raw:传承,raw:传承,21
raw:体现于,raw:体现于,21
raw:作报告,raw:作报告,21
raw:信息来源,raw:信息来源,21
raw:关联地域,raw:关联地域,21
raw:冲突对象,raw:冲突对象,21
raw:准备,raw:准备,21
raw:分工,raw:分工,21
raw:反击,raw:反击,21
raw:发出,raw:发出,21
raw:受害者,raw:受害者,21
raw:地理位置,located_in,21
raw:威胁,raw:威胁,21
raw:学习经历,raw:学习经历,21
raw:寻找,raw:寻找,21
raw:巩固,raw:巩固,21
raw:建立关系,raw:建立关系,21
raw:建立据点,raw:建立据点,21
raw:恢复,raw:恢复,21
raw:指导思想,raw:指导思想,21
raw:指挥中心,raw:指挥中心,21
raw:掌握,raw:掌握,21
raw:推动,organized,21
raw:渡江,raw:渡江,21
raw:精神内核,raw:精神内核,21
raw:组织者-地点,raw:组织者-地点,21
raw:论述,raw:论述,21
raw:资助者,raw:资助者,21
raw:转入,raw:转入,21
raw:遭受,raw:遭受,21
raw:配合行动,raw:配合行动,21
raw:作战于,fought_at,20
raw:关怀,raw:关怀,20
raw:击退,raw:击退,20
raw:包含关系,raw:包含关系,20
raw:参观,visited,20
raw:反抗,raw:反抗,20
raw:后于,raw:后于,20
raw:增援,raw:增援,20
raw:安葬地点,raw:安葬地点,20
raw:审判,raw:审判,20
raw:工作安排,raw:工作安排,20
raw:开办,raw:开办,20
raw:抵达,raw:抵达,20
raw:指挥行动,raw:指挥行动,20
raw:指派,appointed,20
raw:授予,raw:授予,20
raw:接见,raw:接见,20
raw:推荐,raw:推荐,20
raw:推进,raw:推进,20
raw:掩护场所,raw:掩护场所,20
raw:沦陷,raw:沦陷,20
raw:派遣关系,raw:派遣关系,20
raw:策划,formulated,20
raw:筹建,raw:筹建,20
raw:籍贯/活动地,raw:籍贯/活动地,20
raw:纪念地关联,raw:纪念地关联,20
raw:藏匿,raw:藏匿,20
raw:迁移,raw:迁移,20
raw:颁发,raw:颁发,20
raw:领导参与,commanded,20
born_at,raw:born_at,19
inherited_from,raw:inherited_from,19
raw:下令,raw:下令,19
raw:人物-组织,member_of,19
raw:人物与组织,raw:人物与组织,19
raw:人物关系,raw:人物关系,19
raw:介绍人-被介绍人,introduced,19
raw:任职单位,worked_at,19
raw:信息传递,raw:信息传递,19
raw:关押于,imprisoned_at,19
raw:军事打击,raw:军事打击,19
raw:召开会议,raw:召开会议,19
