原始谓词,规范谓词,断言数
raw:合围,raw:合围,19
raw:地理范围,raw:地理范围,19
raw:实施地点,occurred_at,19
raw:带领,led,19
raw:成员-组织,raw:成员-组织,19
raw:指派,raw:指派,19
raw:掩护地点,raw:掩护地点,19
raw:撤退路线,raw:撤退路线,19
raw:改造,raw:改造,19
raw:时间先后,raw:时间先后,19
raw:服务于,raw:服务于,19
raw:欢迎,raw:欢迎,19
raw:汇报关系,reported_to,19
raw:确立,raw:确立,19
raw:移交,raw:移交,19
raw:结合,raw:结合,19
raw:统计,raw:统计,19
raw:调查对象,raw:调查对象,19
raw:象征,raw:象征,19
raw:资金支持,raw:资金支持,19
raw:转移至,stationed_at,19
raw:运输路线,raw:运输路线,19
raw:采用,raw:采用,19
administratively_in,raw:administratively_in,18
raw:下达,raw:下达,18
raw:事-事,raw:事-事,18
raw:作为,raw:作为,18
raw:保存,raw:保存,18
raw:关联-地点,raw:关联-地点,18
raw:关联关系,raw:关联关系,18
raw:军事冲突,raw:军事冲突,18
raw:军事围剿,raw:军事围剿,18
raw:军事指挥,raw:军事指挥,18
raw:军事部署,stationed_at,18
raw:决策依据,raw:决策依据,18
raw:创作主体,raw:创作主体,18
raw:创作关联,raw:创作关联,18
raw:剥削,raw:剥削,18
raw:协助者,raw:协助者,18
raw:发起方,organized,18
raw:发起方,raw:发起方,18
raw:呈报,raw:呈报,18
raw:地-人,raw:地-人,18
raw:奔袭,raw:奔袭,18
raw:宣传工具,raw:宣传工具,18
raw:影响者,influenced,18
raw:悼念,raw:悼念,18
raw:战友关系,comrade_of,18
raw:战斗于,fought_at,18
raw:执行主体,carried_out,18
raw:指向,raw:指向,18
raw:指挥者,raw:指挥者,18
raw:摧毁,raw:摧毁,18
raw:攻击对象,raw:攻击对象,18
raw:时间-事件,raw:时间-事件,18
raw:波及,raw:波及,18
raw:涉及地点,raw:涉及地点,18
raw:突袭,raw:突袭,18
raw:策动起义,raw:策动起义,18
raw:组建者,raw:组建者,18
raw:组织-负责人,raw:组织-负责人,18
raw:组织领导,raw:组织领导,18
raw:编写,raw:编写,18
raw:袭击目标,raw:袭击目标,18
raw:请求,raw:请求,18
raw:践行,carried_out,18
raw:部署,stationed_at,18
raw:领导事件,raw:领导事件,18
raw:驻扎于,raw:驻扎于,18
family_of,raw:family_of,17
raw:主持入党,raw:主持入党,17
raw:举行,raw:举行,17
raw:事件-结果,raw:事件-结果,17
raw:人物活动,raw:人物活动,17
raw:人物籍贯,raw:人物籍贯,17
raw:传播者,raw:传播者,17
raw:体现精神,raw:体现精神,17
raw:使用工具,raw:使用工具,17
raw:俘获,raw:俘获,17
raw:关联场所,raw:关联场所,17
raw:创办者,created,17
raw:区域,raw:区域,17
raw:印发,raw:印发,17
raw:参与组织,member_of,17
raw:参与编写,raw:参与编写,17
raw:审判对象,raw:审判对象,17
raw:属于,member_of,17
raw:巡视,raw:巡视,17
raw:工作部署,dispatched,17
raw:带路,raw:带路,17
raw:影响区域,raw:影响区域,17
raw:情报联络,raw:情报联络,17
raw:投奔,raw:投奔,17
raw:投靠,raw:投靠,17
raw:抢占,raw:抢占,17
raw:撤退,raw:撤退,17
raw:死亡地点,died_at,17
raw:求学地点,raw:求学地点,17
raw:活动范围,stationed_at,17
raw:涉及人物,raw:涉及人物,17
raw:目标区域,raw:目标区域,17
raw:相邻,raw:相邻,17
raw:组织中心,raw:组织中心,17
raw:行军,traveled_to,17
raw:行动地,raw:行动地,17
raw:被捕关联,raw:被捕关联,17
raw:覆盖范围,raw:覆盖范围,17
raw:设伏,raw:设伏,17
raw:设立于,raw:设立于,17
raw:设立地点,raw:设立地点,17
raw:输送人员,raw:输送人员,17
raw:隐蔽地点,raw:隐蔽地点,17
disseminated_at,raw:disseminated_at,16
raw:下令,commanded,16
raw:事件主体,raw:事件主体,16
raw:亲历,participated_in,16
raw:人物-参与,raw:人物-参与,16
raw:人物-领导,raw:人物-领导,16
raw:人物活动地点,active_at,16
raw:体现精神,embodied_by_person,16
raw:供应,raw:供应,16
raw:依靠,raw:依靠,16
raw:全歼,raw:全歼,16
raw:关联人物与事件,raw:关联人物与事件,16
raw:关联实体,raw:关联实体,16
raw:内容,raw:内容,16
raw:决定成立,raw:决定成立,16
raw:分析,raw:分析,16
raw:占据,raw:占据,16
raw:参与主体,raw:参与主体,16
raw:发展区域,raw:发展区域,16
raw:处决地点,raw:处决地点,16
raw:对抗对象,opposed,16
raw:对象,raw:对象,16
raw:屠杀,raw:屠杀,16
raw:开展地,raw:开展地,16
raw:引用,raw:引用,16
raw:强调,raw:强调,16
raw:战略方向,raw:战略方向,16
raw:所属区域,located_in,16
raw:批判,raw:批判,16
raw:指挥攻击,raw:指挥攻击,16
raw:控制区域,governed,16
raw:整顿,raw:整顿,16
raw:活动中心,raw:活动中心,16
raw:物资来源,raw:物资来源,16
raw:牵制,raw:牵制,16
raw:相关事件与地点,raw:相关事件与地点,16
raw:突围,raw:突围,16
raw:组织参与,raw:组织参与,16
raw:组织机构,raw:组织机构,16
raw:编印,raw:编印,16
raw:被捕于,arrested_at,16
raw:被杀害,killed,16
raw:规定,raw:规定,16
raw:说服,raw:说服,16
raw:追剿,raw:追剿,16
raw:追捕,raw:追捕,16
raw:通信,contacted,16
raw:部署,implemented,16
raw:革命同志,comrade_of,16
raw:领导-被领导,raw:领导-被领导,16
raw:领导地,raw:领导地,16
raw:领导活动地点,raw:领导活动地点,16
raw:驻防地,raw:驻防地,16
depicts,raw:depicts,15
documents,documents,15
raw:下属,raw:下属,15
raw:主体-行动,raw:主体-行动,15
raw:主持者,raw:主持者,15
raw:事-地,occurred_at,15
raw:产出,raw:产出,15
raw:人物-机构,raw:人物-机构,15
raw:促进,influenced,15
raw:促进,raw:促进,15
raw:军事占领,raw:军事占领,15
raw:创办,created,15
raw:合作对象,collaborated_with,15
raw:合击,raw:合击,15
raw:同行,raw:同行,15
raw:地-地,raw:地-地,15
raw:宣讲,raw:宣讲,15
raw:家庭关系,family_of,15
raw:对抗方,raw:对抗方,15
raw:就读,raw:就读,15
raw:延续,raw:延续,15
raw:强渡,fought_at,15
raw:战役地点,occurred_at,15
raw:战斗参与,fought_at,15
raw:截击,raw:截击,15
raw:手段,raw:手段,15
raw:指出,raw:指出,15
raw:指挥区域,raw:指挥区域,15
raw:捕获,raw:捕获,15
raw:授课,raw:授课,15
raw:接替,raw:接替,15
raw:提议,raw:提议,15
raw:搜捕,raw:搜捕,15
raw:撤退至,raw:撤退至,15
raw:支援行动,raw:支援行动,15
raw:收编,raw:收编,15
raw:收缴,raw:收缴,15
raw:救助,raw:救助,15
raw:救助,rescued,15
raw:服务,raw:服务,15
raw:构筑工事,raw:构筑工事,15
raw:核心区域,raw:核心区域,15
raw:涵盖,raw:涵盖,15
raw:物,raw:物,15
raw:筹备,raw:筹备,15
raw:管辖关系,governed,15
raw:联合行动,raw:联合行动,15
raw:肯定,raw:肯定,15
raw:被捕地,arrested_at,15
raw:覆盖区域,raw:覆盖区域,15
raw:规划,raw:规划,15
raw:视察,raw:视察,15
raw:讲述,raw:讲述,15
raw:转移路径,traveled_to,15
raw:进军,traveled_to,15
raw:进犯,raw:进犯,15
raw:追剿区域,raw:追剿区域,15
raw:途经地,traveled_to,15
raw:配合作战,raw:配合作战,15
raw:镇压者,raw:镇压者,15
raw:隐蔽于,raw:隐蔽于,15
raw:领导关联,raw:领导关联,15
raw:争取关系,raw:争取关系,14
raw:事-人,raw:事-人,14
raw:事件-事件,raw:事件-事件,14
raw:亲属,family_of,14
raw:人物与事件关联,raw:人物与事件关联,14
raw:传播内容,raw:传播内容,14
raw:作战行动,raw:作战行动,14
raw:作用,raw:作用,14
raw:军事行动关联,raw:军事行动关联,14
raw:决策机构,raw:决策机构,14
raw:决策者-事件,raw:决策者-事件,14
raw:击毙,killed,14
raw:势力-事件,raw:势力-事件,14
raw:压迫,raw:压迫,14
raw:参与建立,raw:参与建立,14
raw:参与战斗,raw:参与战斗,14
raw:参与行动,raw:参与行动,14
raw:参与领导,led,14
raw:发展党员关系,raw:发展党员关系,14
raw:发起地,raw:发起地,14
raw:召集,organized,14
raw:嘉奖,raw:嘉奖,14
raw:地点-组织,raw:地点-组织,14
raw:地理,raw:地理,14
raw:奠定,raw:奠定,14
raw:委托,raw:委托,14
raw:就义地点,died_at,14
raw:布置,raw:布置,14
raw:带路,guided,14
raw:庆祝,raw:庆祝,14
raw:思想影响,influenced,14
raw:成员关系,member_of,14
raw:战斗行动,fought_at,14
raw:所属区域,raw:所属区域,14
raw:所属单位,member_of,14
raw:抗击,raw:抗击,14
raw:抗议,raw:抗议,14
raw:拒绝,raw:拒绝,14
raw:拥护,raw:拥护,14
raw:指挥地,raw:指挥地,14
raw:接任,raw:接任,14
raw:接触,contacted,14
raw:掩护身份,raw:掩护身份,14
raw:擒获,raw:擒获,14
raw:支持对象,raw:支持对象,14
raw:求学,raw:求学,14
raw:没收,raw:没收,14
raw:活动时期,active_during,14
raw:演出,raw:演出,14
raw:激战,raw:激战,14
raw:用于,raw:用于,14
raw:组织单位,raw:组织单位,14
raw:组织建立,raw:组织建立,14
raw:结局,raw:结局,14
raw:联动,raw:联动,14
raw:联络站,raw:联络站,14
raw:谈话,raw:谈话,14
raw:转移关系,raw:转移关系,14
raw:达成,raw:达成,14
raw:追认,raw:追认,14
raw:防守,stationed_at,14
raw:领导-区域,raw:领导-区域,14
raw:领导机构,raw:领导机构,14
raw:领导者,raw:领导者,14
raw:鼓舞,raw:鼓舞,14
created_at,raw:created_at,13
criticized,raw:criticized,13
occurred_during,raw:occurred_during,13
raw:举办地点,raw:举办地点,13
raw:事/地,raw:事/地,13
raw:会师地点,raw:会师地点,13
raw:传递信息,raw:传递信息,13
raw:保管,raw:保管,13
raw:修建,raw:修建,13
raw:关联单位,raw:关联单位,13
raw:写信,raw:写信,13
raw:创建者-组织,raw:创建者-组织,13
raw:创立,raw:创立,13
raw:制作,raw:制作,13
raw:劝说,raw:劝说,13
raw:办公地点,raw:办公地点,13
raw:加入组织,raw:加入组织,13
raw:协同关系,raw:协同关系,13
raw:历史事件,raw:历史事件,13
raw:参与人员,raw:参与人员,13
raw:参与创建,raw:参与创建,13
raw:发生,raw:发生,13
raw:发起者,created,13
raw:同事关系,colleague_of,13
raw:同志关系,comrade_of,13
raw:围困,raw:围困,13
raw:地理路径,raw:地理路径,13
raw:场所关联,raw:场所关联,13
raw:培训,raw:培训,13
raw:处理对象,raw:处理对象,13
raw:夜袭,raw:夜袭,13
raw:委任,appointed,13
raw:实现,raw:实现,13
raw:宣传内容,raw:宣传内容,13
raw:情报支援,raw:情报支援,13
raw:战役发生地,fought_at,13
raw:战斗指挥,raw:战斗指挥,13
raw:战术配合,raw:战术配合,13
raw:战略指导,raw:战略指导,13
raw:承担,raw:承担,13
raw:担任主席,held_position_in,13
raw:指定,raw:指定,13
raw:政治关联,raw:政治关联,13
raw:汇合,raw:汇合,13
raw:渡江行动,raw:渡江行动,13
raw:渡河地点,raw:渡河地点,13
raw:演变关系,raw:演变关系,13
raw:照顾,raw:照顾,13
raw:签发,raw:签发,13
raw:精神体现,raw:精神体现,13
raw:纪念对象,raw:纪念对象,13
raw:组织活动地点,raw:组织活动地点,13
raw:统治,raw:统治,13
raw:缴械,raw:缴械,13
raw:职能,raw:职能,13
raw:联系地点,raw:联系地点,13
raw:背叛,raw:背叛,13
raw:获取,raw:获取,13
raw:行动对象,raw:行动对象,13
raw:被杀害,raw:被杀害,13
raw:见证者-事件,raw:见证者-事件,13
raw:跟随,raw:跟随,13
raw:配合关系,raw:配合关系,13
raw:针对对象,raw:针对对象,13
raw:隐蔽,raw:隐蔽,13
published_by,raw:published_by,12
raw:主导者-事件,led,12
raw:书记,held_position_in,12
raw:事件-主体,raw:事件-主体,12
raw:事件发生地-人物,raw:事件发生地-人物,12
raw:事件结果,raw:事件结果,12
raw:人物-活动地,active_at,12
raw:会师区域,raw:会师区域,12
raw:会议,raw:会议,12
raw:传阅,raw:传阅,12
raw:依托区域,raw:依托区域,12
raw:依托场所,raw:依托场所,12
raw:关联地理,raw:关联地理,12
raw:军事支援,raw:军事支援,12
raw:冲突关系,raw:冲突关系,12
raw:出生地关联,born_at,12
raw:创作者,raw:创作者,12
raw:到达,traveled_to,12
raw:剿匪行动,raw:剿匪行动,12
raw:参与单位,raw:参与单位,12
raw:参与者-事件,raw:参与者-事件,12
raw:反抗对象,raw:反抗对象,12
raw:发展入党,raw:发展入党,12
raw:召开地点,occurred_at,12
raw:召开地点,raw:召开地点,12
raw:召集,raw:召集,12
raw:合作关系,collaborated_with,12
raw:团结,raw:团结,12
raw:地域,raw:地域,12
raw:培养对象,raw:培养对象,12
raw:基础,raw:基础,12
raw:委派,appointed,12
raw:安排,appointed,12
raw:完成,raw:完成,12
raw:审讯,raw:审讯,12
raw:就义于,died_at,12
raw:就读于,raw:就读于,12
raw:居住于,raw:居住于,12
raw:工作场所,worked_at,12
raw:开展,implemented,12
raw:开展活动,raw:开展活动,12
raw:引导,raw:引导,12
raw:弘扬,raw:弘扬,12
raw:强攻,raw:强攻,12
raw:所属地,raw:所属地,12
raw:执行-事件,raw:执行-事件,12
raw:执行任务地点,raw:执行任务地点,12
raw:护送路线,raw:护送路线,12
raw:报道对象,raw:报道对象,12
raw:抵制,raw:抵制,12
raw:指令,raw:指令,12
raw:指导方针,raw:指导方针,12
raw:指挥关联,raw:指挥关联,12
raw:指示者,raw:指示者,12
raw:接头人,raw:接头人,12
raw:接管,governed,12
raw:接见,met_with,12
raw:接触,raw:接触,12
raw:控告,raw:控告,12
raw:支持事件,raw:支持事件,12
raw:救助关系,rescued,12
raw:时间,raw:时间,12
raw:时间背景,raw:时间背景,12
raw:求援,raw:求援,12
raw:用于,used_in_event,12
raw:电令,raw:电令,12
raw:监督,raw:监督,12
raw:确认,raw:确认,12
raw:策动关系,raw:策动关系,12
raw:籍贯地,raw:籍贯地,12
raw:组织-机构,raw:组织-机构,12
raw:组织参与,participated_in,12
raw:组织建设,raw:组织建设,12
raw:组织归属,raw:组织归属,12
raw:组织行动,raw:组织行动,12
raw:经营,raw:经营,12
raw:结识,raw:结识,12
raw:维护,raw:维护,12
raw:编制,raw:编制,12
raw:考察,raw:考察,12
raw:联合行动,collaborated_with,12
raw:联系关系,raw:联系关系,12
raw:触发事件,raw:触发事件,12
raw:起草,raw:起草,12
raw:起草者,raw:起草者,12
raw:转移目的地,raw:转移目的地,12
raw:返回,raw:返回,12
raw:连接,raw:连接,12
raw:途经地,raw:途经地,12
raw:遇害地,died_at,12
raw:针对区域,raw:针对区域,12
raw:阻击,fought_at,12
raw:集结,raw:集结,12
raw:领导-事件,led,12
raw:领导与被领导,led,12
raw:主讲,raw:主讲,11
raw:书记,raw:书记,11
raw:争夺,raw:争夺,11
raw:事件-参与者,participated_in,11
raw:亲历,raw:亲历,11
raw:传播范围,raw:传播范围,11
raw:体现精神,embodied_in_event,11
raw:作战地点,occurred_at,11
raw:使用工具,used_artifact,11
raw:共事,colleague_of,11
raw:关联事件-组织,raw:关联事件-组织,11
raw:关联物证,raw:关联物证,11
raw:冲突事件,raw:冲突事件,11
raw:决议,raw:决议,11
raw:出发,raw:出发,11
raw:分布,raw:分布,11
raw:创作地点,raw:创作地点,11
raw:协助关系,raw:协助关系,11
raw:印证,raw:印证,11
raw:参与主体,participated_in,11
raw:参军,raw:参军,11
raw:反映区域,raw:反映区域,11
raw:发布机构,raw:发布机构,11
raw:发放,raw:发放,11
raw:发生地-事件,raw:发生地-事件,11
raw:吸收,raw:吸收,11
raw:夫妻关系,spouse_of,11
raw:学习内容,raw:学习内容,11
raw:实践地,raw:实践地,11
raw:宣告,raw:宣告,11
raw:宣布成立,raw:宣布成立,11
raw:对立面,opposed,11
raw:封锁,raw:封锁,11
raw:工作,worked_at,11
raw:工作范围,raw:工作范围,11
raw:布防,raw:布防,11
raw:带头,led,11
raw:并列,raw:并列,11
raw:引发,organized,11
raw:思想引导,guided,11
raw:情报提供,raw:情报提供,11
raw:情报支持,raw:情报支持,11
raw:战役发生地,raw:战役发生地,11
raw:战斗对抗,raw:战斗对抗,11
raw:战略指导,guided,11
raw:所在地,located_in,11
raw:执行地点,raw:执行地点,11
raw:护送关系,escorted,11
raw:抵达,traveled_to,11
raw:指挥与被指挥,raw:指挥与被指挥,11
raw:接头联系,contacted,11
raw:控制关系,raw:控制关系,11
raw:提供资料,raw:提供资料,11
raw:携带,raw:携带,11
raw:政策依据,raw:政策依据,11
raw:教育关系,raw:教育关系,11
raw:整编为,raw:整编为,11
raw:斗争关系,raw:斗争关系,11
raw:智擒,raw:智擒,11
raw:来源,raw:来源,11
raw:构成,raw:构成,11
raw:构筑,raw:构筑,11
raw:根据地,stationed_at,11
raw:活动发生地,raw:活动发生地,11
raw:活动地域,raw:活动地域,11
raw:涉及地区,raw:涉及地区,11
raw:渡河行动,raw:渡河行动,11
raw:组织-活动,organized,11
raw:组织-组织,raw:组织-组织,11
raw:组织成立,raw:组织成立,11
raw:组织领导,organized,11
raw:经历,participated_in,11
raw:经过地,traveled_to,11
raw:职务关系,held_position_in,11
raw:致电,raw:致电,11
raw:被俘,raw:被俘,11
raw:被捕关系,raw:被捕关系,11
raw:规范,raw:规范,11
raw:解决,raw:解决,11
raw:计划,raw:计划,11
raw:调整,raw:调整,11
raw:谈判对象,raw:谈判对象,11
raw:跨越,raw:跨越,11
raw:转移目标,raw:转移目标,11
raw:轰炸,raw:轰炸,11
raw:运送,raw:运送,11
raw:进剿,raw:进剿,11
raw:连克,raw:连克,11
raw:遵守,raw:遵守,11
raw:邀请,raw:邀请,11
occurred_during,occurred_during,10
raw:下达,commanded,10
raw:任,raw:任,10
raw:任务关联,raw:任务关联,10
raw:传播对象,raw:传播对象,10
raw:作战于,raw:作战于,10
raw:关心,raw:关心,10
raw:关注,raw:关注,10
raw:关系,raw:关系,10
raw:关联事件-人物,raw:关联事件-人物,10
raw:内应,raw:内应,10
raw:军事关联,raw:军事关联,10
raw:军事对抗,opposed,10
raw:分粮,raw:分粮,10
raw:创建根据地,raw:创建根据地,10
raw:到达,raw:到达,10
raw:制造,carried_out,10
raw:制造,raw:制造,10
raw:区域关联,raw:区域关联,10
raw:协商,raw:协商,10
raw:博弈,raw:博弈,10
raw:参与-事件,participated_in,10
raw:参与-事件,raw:参与-事件,10
raw:参与创作,raw:参与创作,10
raw:参与对象,raw:参与对象,10
raw:参与指挥,commanded,10
raw:参与活动,participated_in,10
raw:发现,raw:发现,10
raw:受害,raw:受害,10
raw:召开于,occurred_at,10
raw:号召,advocated,10
raw:后续人员,raw:后续人员,10
raw:回忆者,raw:回忆者,10
raw:地点与事件,raw:地点与事件,10
raw:培养关系,raw:培养关系,10
